Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Roswell, GA",City,2020,4,1224,1284,1483,1947,2392,0,-0.2
"Round Rock, TX",City,2020,4,1074,1301,1606,2176,2619,0.5,4
"Royal Oak, MI",City,2020,4,689,833,1084,1440,1562,0,0.5
"Sacramento, CA",City,2020,4,871,981,1244,1807,2192,-0.1,2.3
"Saginaw, MI",City,2020,4,501,620,789,1040,1087,0.2,0.6
"Salem, MA",City,2020,4,1268,1446,1794,2254,2484,0,4.2
"Salinas, CA",City,2020,4,1443,1719,2150,3130,3348,-0.1,1.9
"Salisbury, MD",City,2020,4,733,820,1080,1475,1778,0.3,3.9
"Salt Lake City, UT",City,2020,4,710,879,1091,1571,1804,-0.2,1.8
"San Antonio, TX",City,2020,4,697,859,1079,1428,1714,-0.2,0.6
"San Bernardino, CA",City,2020,4,714,855,1069,1502,1850,0.1,1.1
"San Diego, CA",City,2020,4,1428,1581,2051,2953,3614,-0.1,1.1
"San Dimas, CA",City,2020,4,1601,1905,2448,3328,3669,0.4,1.8
"San Francisco, CA",City,2020,4,2004,2463,3094,4163,4950,-0.3,-0.3
"San Jose, CA",City,2020,4,1819,2139,2680,3721,4289,-0.1,1.3
"San Marcos, CA",City,2020,4,1412,1564,2028,2921,3575,-0.2,2.4
"San Marcos, TX",City,2020,4,789,963,1198,1607,1931,-0.1,1
"San Mateo, CA",City,2020,4,2915,3582,4501,6055,7201,0.2,1.4
"San Ramon, CA",City,2020,4,2455,3017,3791,5100,6064,-0.5,-0.1
"Santa Ana, CA",City,2020,4,1215,1446,1857,2524,2783,0,-0.5
"Santa Clara, CA",City,2020,4,1927,2265,2840,3942,4544,-0.4,1.2
"Santa Clarita, CA",City,2020,4,1743,2075,2666,3623,3995,-0.6,0.5
"Santa Cruz, CA",City,2020,4,1556,1845,2453,3253,3653,-0.2,0.7
"Sarasota, FL",City,2020,4,1019,1096,1408,1931,2347,0,0.7
